Training GAN on device: cuda
Starting Training Loop...
[1/40][0/76] Loss_D: 1.6492 Loss_G: 1.3267
[1/40][50/76] Loss_D: 0.0066 Loss_G: 6.6567
[2/40][0/76] Loss_D: 0.0141 Loss_G: 7.5242
[2/40][50/76] Loss_D: 1.1753 Loss_G: 1.5739
[3/40][0/76] Loss_D: 1.0561 Loss_G: 2.7989
[3/40][50/76] Loss_D: 0.7337 Loss_G: 5.5820
[4/40][0/76] Loss_D: 1.0110 Loss_G: 5.6160
[4/40][50/76] Loss_D: 0.5393 Loss_G: 4.1344
[5/40][0/76] Loss_D: 0.4886 Loss_G: 3.2233
[5/40][50/76] Loss_D: 0.9715 Loss_G: 4.2579
[6/40][0/76] Loss_D: 0.8102 Loss_G: 3.1852
[6/40][50/76] Loss_D: 0.9144 Loss_G: 1.5503
[7/40][0/76] Loss_D: 1.3231 Loss_G: 3.9455
[7/40][50/76] Loss_D: 0.7163 Loss_G: 1.5220
[8/40][0/76] Loss_D: 1.4320 Loss_G: 4.2372
[8/40][50/76] Loss_D: 0.4191 Loss_G: 1.6015
[9/40][0/76] Loss_D: 1.3009 Loss_G: 1.9687
[9/40][50/76] Loss_D: 1.0775 Loss_G: 1.9587
[10/40][0/76] Loss_D: 0.7204 Loss_G: 1.2007
[10/40][50/76] Loss_D: 1.1269 Loss_G: 1.3537
[11/40][0/76] Loss_D: 1.1348 Loss_G: 2.7112
[11/40][50/76] Loss_D: 1.7217 Loss_G: 1.9160
[12/40][0/76] Loss_D: 1.3692 Loss_G: 1.7135
[12/40][50/76] Loss_D: 0.9445 Loss_G: 3.7428
[13/40][0/76] Loss_D: 0.8359 Loss_G: 3.0188
[13/40][50/76] Loss_D: 1.1280 Loss_G: 2.5576
[14/40][0/76] Loss_D: 0.7608 Loss_G: 3.5935
[14/40][50/76] Loss_D: 0.8429 Loss_G: 2.8671
[15/40][0/76] Loss_D: 1.7625 Loss_G: 1.5141
[15/40][50/76] Loss_D: 0.8478 Loss_G: 3.3235
[16/40][0/76] Loss_D: 0.8464 Loss_G: 2.6356
[16/40][50/76] Loss_D: 0.8795 Loss_G: 2.5750
[17/40][0/76] Loss_D: 1.1131 Loss_G: 2.6958
[17/40][50/76] Loss_D: 1.2112 Loss_G: 3.5927
[18/40][0/76] Loss_D: 0.7994 Loss_G: 2.7439
[18/40][50/76] Loss_D: 0.1724 Loss_G: 3.1067
[19/40][0/76] Loss_D: 0.9197 Loss_G: 1.5237
[19/40][50/76] Loss_D: 1.1020 Loss_G: 1.8177
[20/40][0/76] Loss_D: 1.2597 Loss_G: 1.6799
[20/40][50/76] Loss_D: 1.0700 Loss_G: 3.6651
[21/40][0/76] Loss_D: 1.2662 Loss_G: 2.0304
[21/40][50/76] Loss_D: 1.1037 Loss_G: 2.7028
[22/40][0/76] Loss_D: 0.7442 Loss_G: 2.3448
[22/40][50/76] Loss_D: 0.5198 Loss_G: 2.2366
[23/40][0/76] Loss_D: 1.0205 Loss_G: 2.7450
[23/40][50/76] Loss_D: 0.7422 Loss_G: 2.1437
[24/40][0/76] Loss_D: 1.0417 Loss_G: 3.5254
[24/40][50/76] Loss_D: 1.1838 Loss_G: 3.4358
[25/40][0/76] Loss_D: 0.7768 Loss_G: 3.1350
[25/40][50/76] Loss_D: 0.7879 Loss_G: 2.1188
[26/40][0/76] Loss_D: 1.7330 Loss_G: 3.3892
[26/40][50/76] Loss_D: 0.4551 Loss_G: 2.7465
[27/40][0/76] Loss_D: 0.3453 Loss_G: 2.5659
[27/40][50/76] Loss_D: 0.4746 Loss_G: 2.4797
[28/40][0/76] Loss_D: 0.4726 Loss_G: 3.2179
[28/40][50/76] Loss_D: 1.1840 Loss_G: 5.0265
[29/40][0/76] Loss_D: 1.1664 Loss_G: 6.2228
[29/40][50/76] Loss_D: 0.9345 Loss_G: 4.3526
[30/40][0/76] Loss_D: 0.3026 Loss_G: 3.0660
[30/40][50/76] Loss_D: 0.5953 Loss_G: 2.9330
[31/40][0/76] Loss_D: 0.7022 Loss_G: 4.5130
[31/40][50/76] Loss_D: 0.8101 Loss_G: 1.8071
[32/40][0/76] Loss_D: 0.8736 Loss_G: 3.1657
[32/40][50/76] Loss_D: 0.6143 Loss_G: 2.6416
[33/40][0/76] Loss_D: 0.9215 Loss_G: 4.1517
[33/40][50/76] Loss_D: 0.3521 Loss_G: 2.3677
[34/40][0/76] Loss_D: 0.4910 Loss_G: 3.2565
[34/40][50/76] Loss_D: 0.6877 Loss_G: 2.3263
[35/40][0/76] Loss_D: 0.7821 Loss_G: 4.9697
[35/40][50/76] Loss_D: 0.5912 Loss_G: 2.1680
[36/40][0/76] Loss_D: 1.2889 Loss_G: 4.8582
[36/40][50/76] Loss_D: 0.4687 Loss_G: 2.1069
[37/40][0/76] Loss_D: 0.5598 Loss_G: 2.7307
[37/40][50/76] Loss_D: 0.2885 Loss_G: 2.2485
[38/40][0/76] Loss_D: 0.8287 Loss_G: 5.5662
[38/40][50/76] Loss_D: 0.3713 Loss_G: 2.9985
[39/40][0/76] Loss_D: 0.2940 Loss_G: 3.7268
[39/40][50/76] Loss_D: 0.3502 Loss_G: 3.8000
[40/40][0/76] Loss_D: 0.3372 Loss_G: 2.4013
[40/40][50/76] Loss_D: 0.4402 Loss_G: 3.1812
